timestamp,x,y,z
156409,0.061035,0.0,0.12207
161411,-0.366211,-0.427246,0.183105
166414,0.0,-0.061035,0.12207
171416,0.061035,-0.061035,0.183105
176419,-0.12207,-0.12207,0.12207
181421,-72.265625,-586.914063,382.446289
186424,80.627441,-504.760742,425.964355
191426,0.183105,-0.183105,0.061035
196429,0.183105,-0.061035,0.12207
201431,0.12207,-0.12207,0.061035
206434,-0.732422,-0.244141,-0.244141
211436,-0.305176,-0.12207,0.0
216439,1.281738,-0.244141,0.732422
221441,0.061035,0.183105,0.305176
226444,-0.061035,-0.061035,0.061035
231446,-1.586914,0.183105,0.183105
236448,0.183105,-0.061035,0.183105
241451,0.061035,0.0,0.12207
246453,-0.183105,0.061035,0.183105
251456,0.976562,0.305176,0.732422
256458,-0.549316,-0.244141,-0.183105
261461,0.183105,-0.061035,0.183105
266463,0.12207,-0.061035,0.183105
271466,-0.671387,0.0,-0.12207
276468,0.061035,-0.061035,0.12207
281470,-0.061035,0.0,0.12207
286473,0.183105,-0.061035,0.183105
291475,-0.061035,-0.061035,0.12207
296478,-0.12207,-0.12207,0.0
301480,0.0,-0.061035,0.12207
306483,0.0,-0.061035,0.12207
311485,0.12207,-0.061035,0.12207
316488,0.0,-0.061035,0.12207
321490,0.244141,-0.061035,0.183105
326493,-0.061035,-0.061035,0.12207
331495,0.061035,-0.061035,0.12207
336498,-0.061035,-0.061035,0.12207
341500,0.12207,-0.061035,0.12207
346502,0.12207,-0.061035,0.183105
351505,0.244141,-0.061035,0.183105
356507,-0.061035,0.0,0.061035
361510,0.12207,-0.061035,0.12207
366512,0.0,-0.061035,0.061035
371515,0.12207,0.0,0.12207
376517,-0.061035,-0.061035,0.061035
381520,0.183105,-0.061035,0.183105
386522,0.0,-0.061035,0.12207
391525,-0.061035,0.0,0.061035
396527,-0.549316,-0.12207,-0.183105
401529,0.061035,-0.061035,0.12207
406532,0.305176,-0.061035,0.183105
411534,-0.061035,0.0,0.061035
416537,-0.12207,-0.061035,0.061035
421539,0.0,-0.061035,0.12207
426542,0.0,-0.061035,0.12207
431544,0.0,0.0,0.12207
436547,0.0,0.0,0.12207
441549,-0.061035,-0.061035,0.061035
446551,0.12207,-0.061035,0.183105
451554,0.061035,-0.061035,0.061035
456556,0.061035,-0.061035,0.12207
461559,-0.061035,-0.061035,0.061035
466561,-0.12207,-0.061035,0.0
471564,0.061035,-0.061035,0.12207
476566,-0.12207,-0.061035,0.061035
481569,0.549316,-0.12207,0.366211
486571,0.12207,-0.061035,0.12207
491574,0.061035,-0.061035,0.12207
496576,0.183105,-0.061035,0.183105
501579,0.061035,-0.12207,0.061035
506581,0.244141,-0.244141,0.061035
511583,0.12207,-0.061035,0.12207
516586,0.061035,-0.061035,0.061035
521588,0.061035,-0.061035,0.12207
526591,-0.061035,-0.12207,0.061035
531593,0.0,-0.061035,0.12207
536596,0.183105,-0.061035,0.183105
541598,-0.061035,-0.061035,0.061035
546601,0.305176,-0.183105,0.061035
551603,-0.12207,0.0,0.12207
556606,0.0,-0.061035,0.12207
561608,0.12207,-0.061035,0.183105
566610,-0.12207,-0.12207,0.0
571613,0.0,-0.061035,0.12207
576615,-0.061035,0.0,0.12207
581618,0.061035,-0.061035,0.12207
586620,-0.12207,-0.061035,0.061035
591623,0.061035,-0.061035,0.12207
596625,0.183105,-0.061035,0.183105
601628,0.12207,-0.061035,0.12207
606630,0.12207,-0.061035,0.12207
611633,0.183105,-0.12207,0.183105
616635,-0.061035,-0.061035,0.061035
621637,-0.061035,0.0,0.12207
626640,0.0,-0.061035,0.061035
631642,0.061035,-0.061035,0.12207
636645,-0.183105,0.0,0.061035
641647,0.0,0.0,0.12207
646650,0.061035,0.0,0.183105
651652,0.0,0.061035,0.183105
656654,0.244141,-0.061035,0.244141
661657,0.0,-0.061035,0.12207
666659,0.12207,-0.061035,0.183105
671662,0.061035,-0.061035,0.12207
676664,-0.12207,-0.061035,0.061035
681667,15.563965,-0.061035,0.12207
686669,0.061035,-0.061035,0.12207
691672,0.061035,-0.061035,0.12207
696674,0.0,-0.061035,0.12207
701676,0.0,-0.061035,0.12207
706679,0.061035,-0.12207,0.12207
711681,0.061035,-0.061035,0.12207
716684,0.061035,-0.061035,0.12207
721686,0.0,-0.061035,0.12207
726689,-0.061035,-0.061035,0.061035
731691,0.183105,-0.061035,0.183105
736694,0.061035,-0.061035,0.12207
741696,0.0,-0.061035,0.12207
746699,0.061035,-0.061035,0.12207
751701,0.061035,-0.12207,0.12207
